,다듬을 말,원어,다듬은 말,제출 점수,의미/용례,sorted11 인덱스,원어_검색량,다듬은말_검색량,검색량_가산점
159,컬처 핏,culture fit,조직 문화 적합성,2.0,"기업의 조직 문화 또는 그 기업이 추구하는 방향과 채용 대상자와의 적합성. 주로 채용 시 지원자를 단순히 정량 평가하지 않고, 조직 구성원과의 교감, 소통, 조직과의 융화 등을 고려한다.",163,5.827586206896552,0.0,-2
160,디제라티,digerati← digital+literati,디지털 지식인,5.0,정보화 시대를 이끌어가는 새로운 지식 계층.,164,0.0,0.0,0
161,코듀로이,corduroy,"골진천, 골무늬 천",2.0,"누빈 것처럼 골이 지게 짠, 우단과 비슷한 옷감",165,32.48275862068966,0.0,-2
162,엔데믹 블루,endemic blue,일상 회복 불안,3.0,"거리두기 완화로 일상에서의 제약이 느슨해지고, 사회적 고립에서 벗어남에 따라 코로나 사태로 익숙해졌던 그간의 일상이 급변하여 우울감을 느끼는 것.",166,0.0,0.0,0
163,오픈 스페이스,open space,열린 쉼터,5.0,도시 계획에서 사람들에게 놀이 활동을 하게 하거나 마음의 편안함을 줄 목적으로 마련한 공간.,167,7.9655172413793105,3.4482758620689653,-2
164,페일콘,failcon,실패 공유 모임,3.0,창업가와 투자자 등 기업 관계자들이 모여 자신의 실패 경험을 공유하고 실패 요인과 해법 등을 논의하는 자리.,168,0.0,0.0,0
165,엔에프티,nft: non-fungible token,대체 불가 토큰,3.0,고유한 인식값을 부여받아 다른 것으로 대체할 수 없는 특성을 지닌 블록체인상의 디지털 저장물.,169,0.0,0.0,0
166,빅 테크,big tech,정보 기술 대기업,5.0,정보 기술 기업 중 규모가 크고 시장 점유율이 높은 기업. 국내 금융 산업에서는 주로 온라인 플랫폼 제공 사업을 핵심으로 하다가 금융 시장에 진출한 업체를 지칭하는 말로 쓰인다.,170,37.55172413793103,0.0,-2
167,에듀테크,edu tech←education+technology,교육 정보 기술,5.0,"교육 분야에 접목한 빅 데이터, 인공 지능 등의 정보 통신 기술.",171,28.24137931034483,2.5172413793103448,-2
168,도어스테핑,doorstepping,"출근길 문답, 약식 문답",2.0,집 밖이나 건물 입구 등 주로 공개된 장소에서 특정 인물을 기다렸다가 약식으로 하는 기자 회견.,172,3.4482758620689653,0.0,-2
169,메타 패션,meta fashion,가상 세계 패션,5.0,"확장 가상 세계(가상 융합 세계)에 등장하는 아바타의 피부, 옷, 신발, 장신구 등을 아우르는 디지털 패션. 질감, 색감 등의 제약으로 현실에서 볼 수 없거나 구현이 어려운 것도 디지털 이미지 또는 동영상으로 구현할 수 있다.",173,0.0,0.0,0
170,로컬 소싱,local sourcing,현지 조달,5.0,상품을 제작하거나 생산할 때 국내에서 만들어진 물자를 활용하는 전략.,174,0.0,0.0,0
171,베이비 스텝,baby step,소폭 조정,2.0,한 나라의 금융과 통화 정책의 주체가 되는 중앙은행이 기준 금리를 0.25퍼센트포인트 인상 또는 인하하는 것.,175,3.4482758620689653,0.0,-2
172,빅 스텝,big step,대폭 조정,5.0,한 나라의 금융과 통화 정책의 주체가 되는 중앙은행이 기준 금리를 0.5퍼센트포인트 인상 또는 인하하는 것.,176,0.0,0.0,0
173,자이언트 스텝,giant step,광폭 조정,2.0,한 나라의 금융과 통화 정책의 주체가 되는 중앙은행이 기준 금리를 0.75퍼센트포인트 인상 또는 인하하는 것.,177,6.413793103448276,0.0,-2
174,네버 코비드,never COVID19,코로나 비감염,5.0,코로나19에 한 번도 걸리지 않음. 또는 그런 사람.,178,0.0,0.0,0
175,트래블 룰,travel rule,송금 정보 기록제,5.0,온라인에서 가상 자산이나 자금을 주고받을 때 자금 세탁 등을 방지하기 위해 주고받는 사람의 정보를 기록하도록 하는 원칙.,179,29.0,0.0,-2
176,커트오프,cutoff,"공천 배제, 예비 경선",5.0,예비 경선이나 예비 경선에서 탈락하여 공천에서 배제되는 것.,180,0.0,0.0,0
177,피팅,fitting,입어보기,5.0,"옷의 착용감, 외관, 맵시 등을 점검하기 위해 입어 보는 것.",181,57.241379310344826,0.0,-2
178,뉴 스페이스,new space,민간 우주 개발,5.0,민간이 주도하는 우주 개발을 이르는 말로 정부가 주도하는 우주 개발인 ‘올드 스페이스(old space)’와 대비된다.,182,9.379310344827585,0.0,-2
179,노마드 워커,nomad worker,유목민형 노동자,5.0,근무 시간이나 근무 장소에 제약되지 않고 자유롭게 일하는 사람.,183,0.0,0.0,0
180,스태그플레이션,stagflation,고물가 경기 침체,5.0,경기 불황 중에도 물가가 계속 오르는 현상.,184,32.793103448275865,0.0,-2
181,컴플라이언스,compliance,"법규 준수, 준법 감시",5.0,사업 추진 과정에서 기업이 자발적으로 관련 법규를 준수하는 것 또는 그것을 감시하는 일.,185,19.310344827586206,0.0,-2
182,디지털 트윈,digital twin,가상 모형,5.0,"가상 공간에 실물과 똑같이 만든 물체, 또는 그러한 것을 만드는 기술. 실물 대신 시험 대상으로 활용하여 미리 여러 가지를 검증하는 데 이용된다.",186,33.827586206896555,0.0,-2
183,페이스 리프트,face lift,외관 개선,5.0,주로 자동차에서 외관이 일부 변경되고 선택 사항이 추가됨으로써 기존 모델과 달라지는 일.,187,29.655172413793103,0.0,-2
184,마이크로투어리즘,microtourism,근거리 여행,5.0,자신의 근거지와 가까운 지역을 여행하는 것.,188,0.0,0.0,0
185,듀얼 라이프,dual life,두 지역살이,5.0,도시와 지방에 주거지를 마련하여 두 곳을 오가며 생활하는 것.,189,0.0,0.0,0
186,멀티데믹,multi pandemic,감염병 복합 유행,4.0,여러 가지 감염병이 동시에 유행하는 것.,190,0.0,0.0,0
187,커리어 하이,career high,최고 기록,5.0,주로 운동에서 선수가 최고의 기량을 발휘하는 것을 이르는 말. 가수 등 연예인의 활동 성과에도 쓰인다.,191,15.448275862068966,29.03448275862069,4
188,헤드라이너,headliner,대표 출연자,5.0,행사나 공연 등에서 가장 기대되거나 주목받는 출연자. 또는 그 무리.,192,7.793103448275862,0.0,-2
189,아쿠아스케이프,aquascape,수생 조경,5.0,"관상어, 수초 등을 활용해 수조를 실제 바다처럼 재현한 것.",193,0.0,0.0,0
190,피크 아웃,peak out,하락 전환,3.0,경기나 주식이 고점을 찍고 하락 국면에 접어드는 상황.,194,3.4482758620689653,0.0,-2
191,오리지널 콘텐츠,original contents,자체 제작물,5.0,인터넷 동영상 서비스(오티티)나 전자책 플랫폼 등에서 자체적으로 제작하여 공개하는 콘텐츠.,195,0.5517241379310345,3.4482758620689653,4
192,그린 카드,green card,친환경 카드,5.0,환경 관련 단체나 환경과 관련된 의미로 쓰임.,196,21.275862068965516,0.0,-2
193,샹그릴라,Shangri-la(영),꿈의 낙원,3.0,신비롭고 아름다운 산골짜기 또는 그런 장소를 비유적으로 가리켜 이르는 말,197,42.55172413793103,0.0,-2
194,피버팅,pivoting,전략 급선회,3.0,"갑작스러운 위기가 발생하거나 외부 환경이 빠르게 변화함에 대응하기 위하여 기존의 업무 추진 방향이나 대응 방식, 목표 등을 신속하게 전환하는 것.",198,0.0,0.0,0
195,백 브리핑,back briefing,덧보고,2.0,공식적인 보고가 끝난 이후 비공식적으로 이어지는 보고.,199,3.4482758620689653,0.0,-2
196,트래블 버블,travel bubble,"비격리 여행 권역, 여행 안전 권역",5.0,코로나19 상황에서 두 국가 이상의 방역 우수 지역이 서로 자유로운 여행을 허용하는 것.,200,0.0,0.0,0
197,긱 워커,gig worker,초단기 노동자,2.0,산업 현장의 필요에 따라 임시로 단기 계약을 맺고 일하는 노동자. 계약 기간은 몇 시간 또는 며칠 정도의 아주 짧은 기간도 해당될 수 있다.,201,0.0,0.0,0
198,북 아트,book art,책 꾸밈,5.0,창의적 요소를 더하여 책의 표지나 속지 등을 예술적으로 꾸미는 일 또는 그렇게 꾸민 책.,202,23.79310344827586,0.0,-2
199,젠더 프리 캐스팅,gender free casting,"탈성별 배역, 탈성별 배역 선정",2.0,연극이나 영화에서 성에 의한 제약이나 차별을 최대한 배제하여 배역을 정하는 일.,203,0.0,3.4482758620689653,4
200,디엠,DM←direct message,쪽지,3.0,누리 소통망(SNS) 사용자들이 각각의 서비스에서 제공하는 통신 기능을 활용하여 서로 주고받는 말.,204,82.27586206896552,24.75862068965517,-2
201,메타버스,metaverse,"확장 가상 세계, 가상 융합 세계",2.0,"3차원 가상 세계에서 자신의 역할을 대신하는 가상의 인물이나 분신을 통해 서로 교류하고 사회, 경제, 문화적 활동을 함으로써 가상 세계와 현실 세계의 경계가 허물어지는 것. 또는 그러한 세계를 이르는 말.",205,61.51724137931034,0.0,-2
202,필터 버블,filter bubble,정보 여과 현상,5.0,"인터넷 정보 제공자가 개인의 취향이나 선호도를 분석해 적절한 정보를 골라서 제공함에 따라, 이용자가 선별된 정보만을 제공받게 되는 현상. 이용자는 자칫 편향된 정보나 특정 성향의 기사 등만 접하게 되어 문제가 될 수 있다.",206,6.827586206896552,0.0,-2
203,빈지 워칭,binge watching,몰아 보기,4.0,"방송 프로그램이나 드라마, 영화의 시리즈물 따위를 한꺼번에 여러 편 몰아서 보는 일.",207,0.0,21.17241379310345,4
204,크라우드 워커,crowd worker,대규모 참여형 노동자,3.0,"기업의 생산, 서비스와 같은 활동에 의견을 제안하거나, 자료를 검토하는 등 수많은 사람들이 참여하는 방식에 참여자로 일하는 사람.",208,3.4482758620689653,0.0,-2
205,디지털 디톡스,digital detox,디지털 거리 두기,2.0,디지털 기기를 지나치게 사용하는 사람들이 디지털 기기 사용을 중단하고 휴식을 취하는 것.,209,32.172413793103445,0.0,-2
206,코로나 레드,corona red,코로나 분노,1.0,코로나19의 확산으로 인해 일상에 큰 변화가 닥치면서 사람들이 느끼는 짜증이나 분노.,210,5.482758620689655,0.0,-2
207,코로나 블랙,corona black,코로나 절망,2.0,코로나19의 확산으로 인해 일상에 큰 변화가 닥치면서 사람들이 느끼는 절망감이나 좌절감.,211,0.0,0.0,0
208,"메디컬 푸어, 메디 푸어","medical poor, medi poor",의료 빈곤층,4.0,과다한 의료비 지출로 인하여 경제적인 어려움을 겪는 사람. 또는 그런 계층.,212,0.0,0.0,0
209,스테이케이션,staycation,근거리 휴가,4.0,휴가철에 먼 곳으로 떠나지 않고 집이나 집 근처에 머물면서 휴가를 즐기는 일.,213,0.2413793103448276,3.4482758620689653,4
210,워커밸,"worker-customer balance, worker and customer balance",주객 평등,3.0,"소비자도 근로자에게 예의를 지켜야 한다는 의미로, 근로자와 소비자 사이의 감정적·태도적 균형을 일컫는 말.",214,0.0,0.0,0
211,애슬레저,athleisure,일상 운동복,4.0,가벼운 운동을 하기에 적합하면서 일상복으로도 편히 입을 수 있는 옷을 일컫는 말.,215,9.517241379310345,0.0,-2
212,펀슈머,funsumer,오락적 소비자,5.0,"물건을 구매할 때 재미있는 상품을 선호하거나, 소비 과정에서 실용성보다는 즐거움을 추구하는 소비자.",216,0.0,0.0,0
213,캄테크,calmtech,자동 편의 기술,4.0,"이용자가 세밀히 조작하거나 명령을 내리지 않아도 인공지능, 컴퓨터, 감지기 등의 첨단 기술과 장비를 활용해 세세한 편의 서비스를 제공하는 기술.",217,0.0,0.0,0
214,고스팅,ghosting,고용 잠적,1.0,직장이나 면접 등에 나오기로 약속해 놓고 별다른 연락 없이 나타나지 않는 것. 주로 직장의 면접 대상자나 신입 사원들의 이러한 행동을 일컫는다.,218,21.20689655172414,0.0,-2
215,펀 세이빙,fun saving,놀이형 저축,3.0,가입자에게 유리한 금리보다는 재미있는 방식으로 저축을 유도하는 금융 상품.,219,0.0,0.0,0
216,인슈어테크,insurtech,보험 정보 기술,5.0,"거대 자료, 인공 지능, 가상 화폐, 사물 인터넷(IoT) 등의 정보 기술을 활용하는 신상품 보험을 개발하는 등의 보험 산업 기술을 일컫는 말.",220,0.0,0.0,0
217,실버 서퍼,silver surfer,디지털 친화 어르신,1.0,인터넷이나 스마트 기기를 능숙하게 활용하는 노년층을 이르는 말.,221,5.620689655172414,0.0,-2
218,슬리포노믹스,sleeponomics,"숙면 산업, 숙면 경제",4.0,숙면할 수 있도록 도와주는 상품이나 서비스 등과 관련된 산업 또는 경제 현상.,222,3.4482758620689653,0.0,-2
219,슬립 테크,sleep tech,숙면 기술,1.0,"인공 지능과 사물 인터넷 기술로 수면 데이터를 분석하여, 숙면을 도와주는 용품을 개발하는 기술.",223,0.0,0.0,0
220,리클라이너,recliner,각도 조절 의자,1.0,등받이나 발받침의 각도를 자유롭게 조절할 수 있는 안락의자.,224,47.724137931034484,0.0,-2
221,웰에이징,well-aging,건강 노년맞이,1.0,노화를 자연스러운 과정으로 받아들이고 몸과 마음의 건강을 추구하며 나이 드는 것.,225,9.758620689655173,0.0,-2
222,"콜키지, 코르크 차지","corkage, cork charge",주류 반입비,1.0,호텔이나 음식점에서 고객이 가지고 온 주류를 마실 수 있도록 하는 대가로 받는 요금.,226,0.0,0.0,0
223,쇼룸,showroom,체험 전시실,1.0,특정 제품이나 회사를 홍보하기 위하여 각종 상품을 진열하거나 전시해 체험할 수 있도록 하는 장소.,227,29.862068965517242,0.0,-2
224,리빙 랩,living lab,생활 실험실,1.0,"생활 영역의 사회적 문제를 해결하고자 지역 주민, 전문가 등이 참여하여 실험을 통해 해결 방안을 마련하는 공간. 또는 그러한 공동체.",228,23.517241379310345,0.0,-2
225,팝업 가든,pop-up garden,반짝 정원,3.0,축제나 행사를 진행하는 짧은 기간 동안 조성하여 즐기는 소규모 정원식 공간 및 시설.,229,0.0,0.0,0
226,푸드 리퍼브,food refurb,식자재 새활용,5.0,맛과 영양에는 문제가 없으나 외관상 상품 가치가 떨어지거나 유통 기한이 임박한 식자재를 적극적으로 구매하는 일. 또는 이를 활용하여 새로운 식품을 만드는 일.,230,0.0,0.0,0
227,오픈 이노베이션,open innovation,개방형 혁신 전략,4.0,기업이 다른 기업이나 연구기관 등 외부로부터 특정 기술과 정보를 도입하는 동시에 기업 내부의 자원이나 기술을 외부와 공유하면서 새로운 제품이나 서비스를 만들어내는 전략.,231,27.551724137931036,0.0,-2
228,워케이션,worcation,휴가지 원격 근무,2.0,"원격 근무의 한 형태로, 휴가지에서 휴가와 업무를 병행하는 일. 또는 그런 제도.",232,15.758620689655173,0.1724137931034483,-2
229,"코로나 쇼크, 코로나19 쇼크","corona shock, corona19 shock",코로나 충격,1.0,코로나19로 인한 사회적·경제적 혼란이나 충격.,233,0.0,0.0,0
230,잡 크래프팅,job crafting,자발적 직무 설계,2.0,자신의 업무 가운데 조절할 수 있는 부분을 자발적으로 의미 있게 변화시키거나 발전시킴으로써 업무에 대한 만족감을 높이는 일.,234,0.0,0.0,0
231,로컬 크리에이터,local creator,지역 가치 창출가,4.0,지역의 문화적 특성이나 자원 등에 혁신적 아이디어를 접목하여 지역 문제를 해결하거나 새로운 경제적 가치를 창출하는 사람. 주로 지자체나 국가가 지역 상권을 활성화하거나 퇴색한 지역 문화를 되살릴 목적으로 발굴하여 육성한다.,235,24.413793103448278,0.0,-2
232,웹 브라우저,web browser,웹 탐색기,5.0,인터넷에서 월드 와이드 웹의 정보를 검색하고 관리하는 데 사용되는 프로그램. 인터넷을 접속할 수 있는 소프트웨어가 설정되어 있으면 사용이 가능하다.,236,41.58620689655172,0.0,-2
233,"오너 코드, 아너 코드*",honor code,명예 규율,3.0,특정 단체의 구성원이 그 단체의 명예를 지키기 위하여 준수하는 행위 규범이나 윤리의 원칙.,237,0.0,0.0,0
234,"부스터 숏, 부스터 샷",booster shot,추가 접종,2.0,백신의 효과를 높이기 위해 일정 시간이 지난 뒤 추가로 접종하는 것.,238,0.0,0.0,0
235,에이징 커브,aging curve,노화 곡선,1.0,일정 나이가 되면 운동 능력이 저하되어 기량이 하략하는 현상. 주로 운동선수의 기량을 평가할 때 쓰이는 말이다.,239,27.689655172413794,0.0,-2
236,다크 스토어,dark store,배송 전용 매장,5.0,고객이 온라인으로 주문한 상품을 빠른 시간 안에 받을 수 있도록 운영하는 소규모 물류 거점.,240,13.689655172413794,0.0,-2
237,하이퍼 로컬,hyper local,동네 생활권,3.0,기존의 지역(로컬)보다 더 좁은 영역.,241,3.4482758620689653,0.0,-2
238,홈코노미,homeconomy,재택 경제 활동,5.0,집 안에서 이루어지는 다양한 경제 활동.,242,0.0,0.0,0
239,디마케팅,demarketing,수요 축소 (전략),5.0,기업이 자사 상품의 판매량을 줄이려는 마케팅 활동.,243,12.379310344827585,0.0,-2
240,리셀 테크,reselltech,재판매 투자,5.0,인기 있는 물건을 제 가격이나 비교적 싼 가격에 사서 비싸게 되팔아 돈을 버는 일.,244,0.0,0.0,0
241,비치 코밍,beachcombing,해변 정화,1.0,"바닷가로 떠밀려 온 표류물, 쓰레기 등을 거두어 모으는 행위를 빗질에 비유하여 이르는 말.",245,0.0,0.0,0
242,인링크,in link,내부 연결 (방식),4.0,사용자가 검색한 정보의 결과를 그 사이트 내에서 찾아 보여주는 방식.,246,39.89655172413793,1.1724137931034482,-2
243,아웃링크,out link,외부 연결 (방식),4.0,사용자가 검색한 정보의 결과를 클릭하면 해당 웹 페이지로 이동하는 방식.,247,17.06896551724138,0.0,-2
244,데스크테리어,deskterior,책상 꾸미기,5.0,사무실 등의 책상을 꾸미는 일.,248,10.413793103448276,7.137931034482759,1
245,오너 리스크,owner risk,경영주발 악재,1.0,대주주(지배 주주)와 관련된 사건이나 대주주의 독단적 경영이 회사에 큰 손해를 끼치는 것.,249,9.689655172413794,0.0,-2
246,리유저블 컵,reusable cup,다회용 컵,5.0,외관은 포장 구매용 종이컵과 같지만 재질이 특수하여 반영구적으로 사용할 수 있는 컵.,250,0.0,0.0,0
247,레몬 마켓,lemon market,정보 불균형 시장,1.0,"판매자보다 제품에 대한 정보가 적은 소비자들이 속아서 살 가능성을 우려해 싼값만 지불하려 하고, 이로 인해 저급품만 유통되는 시장.",251,3.4482758620689653,0.0,-2
248,쿨링 포그,cooling fog,"안개형 냉각, 안개형 냉각수",1.0,주변 온도를 낮추기 위하여 안개 형태로 분사되는 물. 또는 그런 장치.,252,0.0,0.0,0
249,홈루덴스,home ludens,집놀이족,3.0,바깥에서 활동하기보다는 집에서 놀이를 즐기며 휴식을 취하는 사람.,253,3.4482758620689653,0.0,-2
250,마이너스 옵션,minus option,"제외 선택제,  제외 선택권,  제외 선택 사항",5.0,기본 선택 사항에서 일부 사항을 수요자가 선택하지 않는 방식.,254,0.0,0.0,0
251,플러스 옵션,plus option,"추가 선택제,  추가 선택권,  추가 선택 사항",5.0,기본 선택 사항 외에 일부 사항을 수요자가 추가하는 방식.,255,31.06896551724138,0.0,-2
252,케어 푸드,care food,"돌봄식, 돌봄 음식",4.0,노인이나 환자 등 특별한 영양 공급이 필요한 이들에게 각기 필요한 영양분이 들어가도록 한 음식.,256,20.896551724137932,0.0,-2
253,벌크 업,bulk up,근육 키우기,2.0,식사량 조절과 강도 높은 운동을 통해 근육량을 늘리고 체격을 키우는 일.,257,57.3448275862069,0.9655172413793104,-2
254,비즈 매칭,biz-matching,사업자 연계,3.0,"시장 경쟁력을 높이기 위해 개인과 기업, 단체와 기업, 기업과 기업 등이 협업할 수 있도록 이들을 연결하는 일.",258,0.0,0.0,0
255,롱 코비드,long Covid,코로나 감염 후유증,5.0,"코로나19 감염자 또는 감염 의심자에게 증상 발현 후 나타나는 후유증. 일반적으로 코로나19 발병 후 3개월쯤부터 호흡 곤란, 인지 장애, 피로 등이 주요 증상으로 나타나며 최소 2개월 이상 지속된다.",259,0.0,0.0,0
256,푸드테크,food tech,첨단 식품 기술,5.0,"식품 산업과 식품 관련 산업에 인공 지능, 사물 인터넷 기술 등 4차 산업 기술을 적용하여 식품의 생산이나 가공 과정 등을 관리하는 기법.",260,28.0,0.0,-2
257,펫코노미,petconomy← pet+economy,반려동물 산업,5.0,"반려동물과 관련된 산업을 이르는 말. 주로 간식, 영양제, 의류 등 반려동물용품이나 교육, 의료 서비스 등을 이른다.",261,0.0,7.827586206896552,4
258,리걸테크,legaltech,"법률 정보 기술, 법률 정보 기술 서비스",3.0,"각종 법률 서비스를 구현하는 정보 통신 기술, 또는 그런 기술을 활용하는 서비스. 변호사 검색, 법률 상담 신청, 법령 검색 등을 구현 또는 서비스하는 것이 일반적이다.",262,9.03448275862069,0.0,-2
259,그린 포트폴리오,green portfolio,친환경 수익 전략,2.0,"친환경 에너지, 신재생 에너지 등을 활용하여 수익을 창출하거나 환경을 보전하는 사업 전략.",263,0.0,0.0,0
260,1코노미,1conomy,1인 경제,4.0,혼자만의 생활을 즐기며 소비 활동을 하는 일 또는 그런 사람.※ ‘1코노미’는 일인(1人)과 경제를 뜻하는 영어 이코노미(economy)를 합친 말이다.,264,0.0,3.4482758620689653,4
261,다크패턴,dark pattern,눈속임 설계,4.0,사용자를 속이기 위해 설계된 접속 환경(인터페이스)을 뜻하는 말. 인터넷 사이트나 스마트폰 응용프로그램(애플리케이션) 등에서 사용자들이 원치 않는 물건이나 서비스를 구입하도록 은밀히 유도하는 것이 대표적인 사례이다.,265,22.79310344827586,0.0,-2
262,애니멀 호더,animal hoarder,동물 수집꾼,4.0,동물을 모으는 것에 지나치게 집착하나 기르는 일에는 무관심하여 방치하는 사람.,266,0.0,0.0,0
263,하프 오픈 톱,half open top,부분 개방형,4.0,버스나 트레일러 등의 좌석 일부분을 지붕 없이 개방하는 형태. 주로 관광용 2층 버스에 사용된다.,267,0.0,0.0,0
264,리커버,recover,새표지,2.0,이미 출간된 책의 표지를 새로운 디자인으로 바꾸어 다시 출간하는 일.,268,30.17241379310345,0.0,-2
265,신파일러,thin filer,금융 이력 부족자,4.0,서류가 얇은 사람이란 뜻으로 신용을 평가할 수 없을 만큼 금융 거래 정보가 거의 없는 사람.,269,3.4482758620689653,0.0,-2
266,슬로 푸드,slow food,"여유식, 느림 음식",4.0,천천히 시간을 들여서 만들고 먹는 음식을 ‘패스트푸드’에 상대하여 이르는 말.,270,0.0,0.0,0
267,스피어 피싱,spear phishing,표적 온라인 사기,4.0,불특정 다수의 개인정보를 빼내는 전자금융사기(피싱)와 달리 특정 기업 혹은 중요 시스템 관리자나 정보 책임자 등의 특정인의 정보를 캐내기 위한 사이버 공격.,271,0.0,0.0,0
268,리브랜딩,rebranding,상표 새 단장,3.0,"소비자의 기호, 취향, 환경 변화 등을 고려해 기존 제품이나 상표의 이미지를 새롭게 창출하고, 이를 소비자에게 인식시키는 활동.",272,31.344827586206897,0.0,-2
269,체크슈머,checksumer,꼼꼼 소비자,2.0,"상품의 성분, 원재료, 제조 과정, 사용 후기 등을 꼼꼼히 확인하고 구매를 결정하는 소비자.",273,0.0,0.0,0
270,라이브 커머스,live commerce,실시간 소통 판매,3.0,인터넷 생방송을 통해 판매자와 소비자가 실시간으로 소통하며 물건을 사고파는 방식의 전자 상거래.,274,23.517241379310345,0.0,-2
271,미러 시트,mirror sheet,안심 거울,3.0,"주로 범죄 예방을 위해 주택의 공동 현관문이나 화장실 출입구 등에 부착하는 반사 필름. 범죄 예방 설계 기법의 하나로 활용되는데 뒤따라오는 사람의 모습이 반사되어 보행자에게는 심리적 안정감을 주고, 범죄자에게는 자신의 모습을 인식하게 하여 범행을 포기하도록 유도하는 효과가 있다.",275,0.0,0.0,0
272,멀티 페르소나,multi-persona,다면(적) 자아,4.0,상황이나 장소에 따라 다양한 정체성을 표현하는 현대인의 특성을 나타내는 말.,276,0.0,0.0,0
273,빅텐트,big tent,"초당파 연합, 포괄 정당",3.0,특정 이념이나 정치적 견해에 한하지 않고 여러 세력을 아우르는 연합체.,277,0.0,0.0,0
274,폴리널리스트,polinalist,정치 참여 언론인,3.0,정치에 적극적으로 참여하는 전‧현직 언론인.,278,0.0,0.0,0
275,인포데믹(스),Infodemic(s),악성 정보 확산,5.0,악성 루머나 왜곡된 정보가 전염병처럼 퍼지는 현상.,279,0.0,0.0,0
276,가스라이팅,gaslighting,심리(적) 지배,5.0,"타인의 심리나 상황을 교묘하게 조작해 판단력을 잃게 만들고, 타인에 대한 통제력이나 지배력을 강화하는 행위.",280,35.10344827586207,0.0,-2
277,아트버스터,artbuster,흥행 예술작,4.0,흥행에 성공한 예술 영화.,281,0.0,3.4482758620689653,4
278,로고젝터,logojector,알림 조명,3.0,벽이나 바닥에 특정한 문구나 이미지를 송출하는 발광 다이오드(LED) 조명 장치.,282,3.4482758620689653,0.0,-2
279,스윙보터,swing voter,유동 투표층,5.0,선거 등의 투표에서 어떤 후보에게 투표할지 결정하지 못한 유권자를 이르는 말.,283,0.0,0.0,0
280,에피데믹,epidemic,"(감염병) 유행, (감염병) 국가적 유행, (감염병)",4.0,많은 사람들 사이에서 감염병이 빠르게 유행하는 현상.,284,0.0,0.0,0
281,팬데믹,pandemic,(감염병) 세계적 유행,1.0,전 세계적으로 감염병이 크게 유행하는 현상.,285,0.0,0.0,0
282,브이로그,vlog,영상 일기,5.0,"자신의 일상을 직접 찍은 동영상 콘텐츠로 개인 블로그나 누리소통망, 동영상 실시간 재생 사이트 등에 게시함.",286,56.86206896551724,0.3448275862068966,-2
283,블라인드 펀드,blind fund,투자처 미특정 기금,5.0,투자자들에게서 먼저 자금을 모은 다음에 투자처를 정하여 투자하는 펀드.,287,19.03448275862069,0.0,-2
284,패닉 셀링,panic selling,공황 매도,1.0,"갑작스러운 요인으로 주가가 떨어질 때, 투자자들이 보유 주식을 마구 파는 일.",288,0.0,0.0,0
285,게리맨더링,gerrymandering,자의적 선거구 (획정),4.0,자기 정당에 유리하게 선거구를 변경하는 일.,289,6.827586206896552,0.0,-2
286,바이오시밀러,biosimilar,동등 생물 의약품,3.0,이미 제조판매ㆍ수입 품목 허가를 받은 품목과 품질 및 비임상ㆍ임상적 비교 동등성이 입증된 생물 의약품.,290,30.93103448275862,0.0,-2
287,스카이라인,skyline,"하늘지붕선, 하늘선",2.0,"하늘과 맞닿은 것처럼 보이는, 산이나 건물 따위의 윤곽선.",291,46.6551724137931,0.0,-2
288,워킹 스루,walking through,"도보 이동형, 도보형",2.0,"건물 안에 들어가지 않고 건물 입구 등 별도로 마련된 곳으로 걸어가서 용무를 보는 방식. 감염병 진료, 물품 구매, 도서 대출·반납 등에 활용됨.",292,0.0,0.0,0
289,퍼펙트 스톰,perfect storm,초대형 경제 위기,4.0,두 가지 이상의 악재가 동시에 발생하여 나타나는 심각한 경제 위기를 이르는 말.,293,6.206896551724138,0.0,-2
290,리테일 테크,retail tech,첨단 소매 유통 기술,4.0,"빅 데이터, 기계 학습, 인공 지능 따위의 첨단 정보 기술을 소매 유통업 분야에 적용한 기술.",294,0.0,0.0,0
291,글러브 월,glove-wall,의료용 분리벽,3.0,의료진이 검사를 받는 사람과 직접 접촉하지 않고 검체를 채취할 수 있도록 투명한 벽에 의료용 장갑을 설치한 장치.,295,0.0,0.0,0
292,다크 웹,dark web,지하웹,2.0,"특정 프로그램을 사용해야만 접속할 수 있는 웹. 일반적인 방법으로는 서버, 접속자 등을 찾을 수 없기 때문에 사이버 범죄에 악용되기도 함.",296,29.96551724137931,0.0,-2
293,모션 그래픽(스),motion graphic(s),동작 그래픽,3.0,"애니메이션 기술과 비디오 장면을 이용한 그래픽. 사진이나 그림에 움직임을 만들어 내는 그래픽으로 프레젠테이션, 영상 타이틀, 광고 등에 활용됨.",297,0.0,0.0,0
294,언택트 서비스,untact service,비대면 서비스,5.0,"사람과 사람이 직접 만나지 않고 이루어지는 서비스. *비대면 소비(←언택트 소비), 비대면 방식(←언택트 방식),비대면 채용(←언택트 채용)",298,0.0,17.93103448275862,4
295,유니크 베뉴,unique venue,이색 지역 명소,4.0,"지역의 고유한 문화나 특색을 체험할 수 있는 장소. 회의 및 숙박 시설, 관광 및 체험 콘텐츠 등이 고루 갖춰진 곳이 많음.",299,0.0,0.0,0
